                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68398,                0.34207,                0.87134,                0.99632,                0.99679,                0.99486,                0.88737,                0.64337,                0.27579,                0.83884,              0.0086465,              0.0086465,              0.0086465
                     37,                0.67834,                0.34197,                0.87308,                0.99718,                0.99509,                0.99492,                0.88864,                0.62493,                 0.2735,                0.83403,              0.0086078,              0.0086078,              0.0086078
                     38,                 0.6778,                0.34217,                0.87333,                0.99698,                 0.9965,                0.99489,                0.88736,                0.64432,                 0.2729,                0.83963,              0.0085691,              0.0085691,              0.0085691
                     39,                0.67695,                 0.3382,                0.87175,                0.99438,                0.99673,                 0.9948,                 0.8793,                0.68474,                 0.2857,                0.84588,              0.0085305,              0.0085305,              0.0085305
                     40,                0.67045,                0.33552,                0.86921,                0.99585,                 0.9948,                0.99445,                0.89086,                0.63162,                0.27619,                0.83762,              0.0084918,              0.0084918,              0.0084918
                     41,                0.67519,                 0.3376,                0.87053,                0.99666,                0.99619,                0.99474,                0.89364,                0.60896,                0.26607,                0.83514,              0.0084531,              0.0084531,              0.0084531
                     42,                0.66982,                0.33435,                0.86883,                0.99537,                0.99487,                0.99483,                0.89347,                0.59864,                0.26544,                0.83212,              0.0084145,              0.0084145,              0.0084145
                     43,                0.66197,                 0.3323,                0.86959,                0.99503,                0.99781,                0.99492,                0.89807,                 0.5969,                0.26239,                 0.8325,              0.0083758,              0.0083758,              0.0083758
                     44,                0.66804,                0.33278,                0.86846,                0.99214,                0.99453,                0.99467,                 0.8879,                0.64425,                0.27218,                 0.8397,              0.0083371,              0.0083371,              0.0083371
                     45,                0.66327,                0.33295,                0.87176,                0.99227,                0.99501,                 0.9939,                0.89498,                0.61489,                  0.273,                0.83479,              0.0082984,              0.0082984,              0.0082984
                     46,                0.65715,                0.32879,                0.86625,                0.99605,                0.99625,                0.99488,                 0.8911,                0.62087,                0.27389,                0.83669,              0.0082598,              0.0082598,              0.0082598
                     47,                 0.6571,                0.32674,                0.86789,                0.99648,                0.99567,                 0.9948,                0.88977,                0.61196,                0.26758,                0.83287,              0.0082211,              0.0082211,              0.0082211
                     48,                0.65688,                0.32765,                0.86759,                0.99652,                 0.9974,                0.99451,                0.89005,                0.64297,                 0.2684,                0.83691,              0.0081824,              0.0081824,              0.0081824
                     49,                0.65619,                0.32574,                0.86605,                0.99298,                0.99662,                 0.9947,                0.89389,                0.62862,                0.27417,                0.83705,              0.0081437,              0.0081437,              0.0081437
                     50,                0.65088,                0.32684,                0.86714,                0.99168,                0.99499,                0.99393,                0.89489,                0.60589,                 0.2636,                0.83366,              0.0081051,              0.0081051,              0.0081051
                     51,                0.65094,                0.32366,                0.86478,                0.99516,                0.99607,                0.99442,                0.89006,                0.64068,                 0.2706,                0.83687,              0.0080664,              0.0080664,              0.0080664
                     52,                0.64462,                0.32121,                  0.866,                0.99745,                0.99823,                 0.9949,                0.90037,                0.58935,                0.25186,                0.83076,              0.0080277,              0.0080277,              0.0080277
                     53,                0.64673,                0.32004,                0.86344,                0.99818,                0.99844,                0.99487,                0.89858,                0.61022,                0.25308,                0.83231,              0.0079891,              0.0079891,              0.0079891
                     54,                0.64402,                0.31884,                0.86531,                0.99414,                0.99528,                0.99468,                0.89332,                0.61919,                0.26138,                0.83576,              0.0079504,              0.0079504,              0.0079504
                     55,                0.64672,                0.31975,                0.86428,                0.99663,                0.99612,                0.99494,                0.89703,                0.59948,                0.25512,                0.83075,              0.0079117,              0.0079117,              0.0079117
                     56,                 0.6426,                0.31953,                  0.865,                0.99769,                0.99722,                0.99488,                 0.8983,                0.60548,                0.25306,                0.83121,               0.007873,               0.007873,               0.007873
                     57,                0.63877,                0.31697,                0.86371,                0.99622,                0.99665,                0.99492,                0.86449,                0.77659,                0.29114,                 0.8612,              0.0078344,              0.0078344,              0.0078344
