                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76161,                0.41052,                0.87915,                0.99416,                 0.9919,                 0.9947,                0.87289,                0.67654,                0.32615,                0.84602,              0.0086465,              0.0086465,              0.0086465
                     37,                0.75639,                0.40868,                0.87886,                0.99037,                0.99171,                0.99435,                0.85209,                0.72601,                0.33783,                0.85257,              0.0086078,              0.0086078,              0.0086078
                     38,                0.75667,                0.41072,                0.87974,                0.99254,                0.99355,                0.99483,                0.86684,                0.67151,                0.32581,                0.84711,              0.0085691,              0.0085691,              0.0085691
                     39,                0.75345,                0.40359,                0.87771,                0.99041,                 0.9877,                0.99364,                0.86477,                0.68831,                0.33384,                0.84927,              0.0085305,              0.0085305,              0.0085305
                     40,                0.74582,                0.40351,                0.87654,                0.99032,                0.99344,                0.99438,                0.87328,                0.63906,                0.31888,                0.83895,              0.0084918,              0.0084918,              0.0084918
                     41,                0.75337,                0.40165,                0.87784,                0.98999,                0.98999,                0.99352,                0.85656,                0.73817,                0.34114,                0.85539,              0.0084531,              0.0084531,              0.0084531
                     42,                0.74816,                0.39965,                0.87652,                0.98009,                0.98562,                0.99229,                0.87077,                0.66898,                0.35052,                0.84598,              0.0084145,              0.0084145,              0.0084145
                     43,                0.74018,                0.39886,                0.87712,                0.98548,                0.98845,                0.99372,                0.85299,                0.71226,                0.33027,                0.85184,              0.0083758,              0.0083758,              0.0083758
                     44,                0.74886,                0.40015,                0.87611,                0.99216,                0.99094,                0.99471,                0.85193,                0.75162,                0.33839,                0.85923,              0.0083371,              0.0083371,              0.0083371
                     45,                 0.7443,                0.39775,                0.87885,                0.97976,                0.98486,                0.99263,                0.87486,                0.66633,                0.33411,                 0.8444,              0.0082984,              0.0082984,              0.0082984
                     46,                0.73867,                  0.396,                0.87285,                0.97233,                0.98122,                0.99406,                0.85957,                0.72763,                0.36607,                0.85523,              0.0082598,              0.0082598,              0.0082598
                     47,                0.73753,                0.39007,                0.87498,                0.96166,                0.96926,                0.98638,                0.85489,                 0.7036,                0.38295,                0.85297,              0.0082211,              0.0082211,              0.0082211
                     48,                 0.7417,                0.39341,                0.87515,                0.98888,                0.99194,                0.99417,                0.87437,                0.68518,                0.32417,                0.84511,              0.0081824,              0.0081824,              0.0081824
                     49,                0.73222,                0.39079,                 0.8735,                0.99473,                0.99325,                0.99444,                0.86222,                 0.7334,                0.31818,                0.85443,              0.0081437,              0.0081437,              0.0081437
                     50,                0.73117,                0.38846,                0.87406,                 0.9918,                0.99561,                0.99462,                0.87682,                0.65252,                0.30897,                0.84226,              0.0081051,              0.0081051,              0.0081051
                     51,                0.72859,                0.38685,                0.87081,                0.98951,                0.99089,                0.99436,                0.86254,                 0.7265,                0.32745,                0.85286,              0.0080664,              0.0080664,              0.0080664
