                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69233,                0.35461,                0.86858,                 0.9976,                0.99741,                0.99488,                  0.888,                0.64071,                0.27927,                0.83881,              0.0086465,              0.0086465,              0.0086465
                     37,                0.68939,                0.35223,                 0.8691,                0.99598,                0.99486,                0.99463,                0.88694,                0.65084,                0.28252,                0.83708,              0.0086078,              0.0086078,              0.0086078
                     38,                0.68734,                0.35207,                0.86954,                0.99471,                0.99608,                 0.9948,                0.88341,                0.64114,                 0.2828,                0.83829,              0.0085691,              0.0085691,              0.0085691
                     39,                0.68881,                0.35182,                  0.868,                0.98684,                0.99474,                0.99247,                0.88302,                0.66863,                0.29117,                0.84335,              0.0085305,              0.0085305,              0.0085305
                     40,                0.68119,                0.34902,                0.86699,                0.99296,                0.99217,                0.99446,                0.87417,                0.68944,                0.30119,                0.84452,              0.0084918,              0.0084918,              0.0084918
                     41,                 0.6865,                0.34469,                0.86726,                0.99614,                0.99615,                0.99459,                0.89398,                0.60872,                0.27223,                0.83457,              0.0084531,              0.0084531,              0.0084531
                     42,                0.67903,                0.34384,                0.86526,                0.99604,                0.99506,                0.99461,                 0.8972,                 0.6136,                0.27632,                0.83282,              0.0084145,              0.0084145,              0.0084145
                     43,                0.67077,                0.34433,                0.86639,                0.99494,                0.99588,                0.99481,                0.88284,                0.65852,                0.27703,                 0.8439,              0.0083758,              0.0083758,              0.0083758
                     44,                0.67692,                0.34394,                0.86553,                0.99417,                0.99356,                0.99472,                0.88399,                0.65582,                0.29044,                0.84218,              0.0083371,              0.0083371,              0.0083371
                     45,                0.67175,                0.34173,                0.86822,                0.99567,                0.99575,                0.99479,                0.89886,                0.59703,                0.26942,                0.83018,              0.0082984,              0.0082984,              0.0082984
                     46,                0.67081,                0.34343,                0.86258,                0.99552,                0.99684,                0.99477,                0.89111,                0.63263,                0.27754,                0.83806,              0.0082598,              0.0082598,              0.0082598
                     47,                0.66831,                0.33606,                0.86464,                0.99504,                0.99329,                0.99476,                0.88604,                0.63061,                0.27807,                0.83903,              0.0082211,              0.0082211,              0.0082211
                     48,                0.66813,                0.33585,                0.86465,                0.99593,                0.99672,                0.99475,                0.88877,                0.62568,                0.26856,                0.83539,              0.0081824,              0.0081824,              0.0081824
                     49,                0.66422,                0.33638,                0.86341,                0.99467,                0.99536,                 0.9944,                0.89372,                0.60694,                 0.2645,                0.83386,              0.0081437,              0.0081437,              0.0081437
                     50,                0.66119,                0.33834,                0.86401,                0.99535,                0.99626,                0.99426,                0.89261,                0.62196,                0.26848,                0.83483,              0.0081051,              0.0081051,              0.0081051
